Model,Accuracy,Precision,Recall,F1,AUC,Harmonic_F1_AUC
Random Forest,0.51,0.537,0.577,0.556,0.498,0.525404174573055
MLP (enriched),0.493,0.52,0.614,0.563,0.487,0.5222495238095238
"XGBoost (all features, 3d)",0.531,0.44,0.604,0.509,0.534,0.5212003835091082
MLP (baseline),0.505,0.529,0.629,0.575,0.463,0.5129576107899807
"XGBoost (all features, 5d)",0.472,0.347,0.637,0.45,0.531,0.4871559633027523
Logistic Regression,0.464,0.497,0.545,0.52,0.456,0.48590163934426234
LSTM + Sentiment,0.561,0.452,0.427,0.439,0.543,0.4854928716904277
LSTM (SHAP),0.548,0.437,0.424,0.43,0.54,0.4787628865979382
XGBoost (enriched),0.594,0.495,0.347,0.408,0.566,0.47418480492813136
LSTM (All Features),0.569,0.461,0.386,0.42,0.539,0.4721167883211678
XGBoost + Sentiment,0.566,0.444,0.337,0.383,0.55,0.45155412647374066
LSTM + Sentiment + Attention,0.51,0.363,0.288,0.321,0.445,0.3729634464751958
