feature,mean_abs_shap
Lag_7,0.018515493467806263
Rolling_Return_5,0.01505802507464955
Lag_8,0.01503798399520903
Lag_3,0.013642285385587505
RSI_14,0.013602776092275183
Lag_5,0.013256177847114628
DayOfWeek,0.013004602513608686
Lag_6,0.012839065225379578
Rolling_Return_10,0.012087967562976063
Lag_1,0.011476633830203357
Daily_Return,0.011040083562326677
Volume_Avg_20,0.010985230756866986
Intraday Range,0.01043730128463691
Volatility_20,0.010289682964631244
MACD,0.010196811814492565
Lag_2,0.010004686009863066
Volume_Diff,0.009946383642524367
Lag_9,0.009937851299864178
Volume,0.009824683278119632
Lag_4,0.00966419110922892
Intraday_Range,0.009647531761986836
Lag_10,0.009505017455260003
MACD_Signal,0.009464753204590108
Volatility_50,0.009330398726014587
Open,0.007781365592043831
MA_20,0.007268434795129885
High,0.007057511695710362
Low,0.006648199365835736
MA_50,0.006230706838383976
Month,0.006118336402570928
Close,0.006102826036212546
Year,0.0031248809606990464
Price_Above_MA_20,0.0019898228895470463
Price_Above_MA_50,0.0012819364925374928
MA_Cross,0.0012228771385757481
